Store ID,Month,Monthly Target
1,01-01-2023,31979
1,02-01-2023,30705
1,03-01-2023,33786
1,04-01-2023,33121
1,05-01-2023,44893
1,06-01-2023,46353
1,07-01-2023,45393
1,08-01-2023,41547
1,09-01-2023,45680
1,10-01-2023,41618
1,11-01-2023,44111
1,12-01-2023,46498
2,01-01-2023,44340
2,02-01-2023,42881
2,03-01-2023,42066
2,04-01-2023,48982
2,05-01-2023,48235
2,06-01-2023,36104
2,07-01-2023,37716
2,08-01-2023,39764
2,09-01-2023,35794
2,10-01-2023,30095
2,11-01-2023,36306
2,12-01-2023,62269
3,01-01-2023,63815
3,02-01-2023,64278
3,03-01-2023,60829
3,04-01-2023,55076
3,05-01-2023,54661
3,06-01-2023,51585
3,07-01-2023,63576
3,08-01-2023,59023
3,09-01-2023,69716
3,10-01-2023,54195
3,11-01-2023,52965
3,12-01-2023,61552
4,01-01-2023,57367
4,02-01-2023,60401
4,03-01-2023,68774
4,04-01-2023,67925
4,05-01-2023,53319
4,06-01-2023,65382
4,07-01-2023,59880
4,08-01-2023,53945
4,09-01-2023,54604
4,10-01-2023,31823
4,11-01-2023,33281
4,12-01-2023,39379
5,01-01-2023,36736
5,02-01-2023,38508
5,03-01-2023,50913
5,04-01-2023,56763
5,05-01-2023,59901
5,06-01-2023,44127
5,07-01-2023,48225
5,08-01-2023,48133
5,09-01-2023,56656
5,10-01-2023,54877
5,11-01-2023,49762
5,12-01-2023,56706
6,01-01-2023,58884
6,02-01-2023,48921
6,03-01-2023,40240
6,04-01-2023,51463
6,05-01-2023,42829
6,06-01-2023,41880
6,07-01-2023,57096
6,08-01-2023,49810
6,09-01-2023,48154
6,10-01-2023,58298
6,11-01-2023,52960
6,12-01-2023,49975
7,01-01-2023,47085
7,02-01-2023,45373
7,03-01-2023,38162
7,04-01-2023,30035
7,05-01-2023,32526
7,06-01-2023,34749
7,07-01-2023,36482
7,08-01-2023,38036
7,09-01-2023,37827
7,10-01-2023,30882
7,11-01-2023,36502
7,12-01-2023,38299
8,01-01-2023,30607
8,02-01-2023,30374
8,03-01-2023,39846
8,04-01-2023,39231
8,05-01-2023,38692
8,06-01-2023,32774
8,07-01-2023,34866
8,08-01-2023,35861
8,09-01-2023,31909
8,10-01-2023,35570
8,11-01-2023,37648
8,12-01-2023,30808
9,01-01-2023,35742
9,02-01-2023,32607
9,03-01-2023,33407
9,04-01-2023,34447
9,05-01-2023,38727
9,06-01-2023,38817
9,07-01-2023,34444
9,08-01-2023,31322
9,09-01-2023,32678
9,10-01-2023,39515
9,11-01-2023,34298
9,12-01-2023,36007
10,01-01-2023,32487
10,02-01-2023,37231
10,03-01-2023,37568
10,04-01-2023,36028
10,05-01-2023,30384
10,06-01-2023,30208
10,07-01-2023,39040
10,08-01-2023,34286
10,09-01-2023,33894
10,10-01-2023,37487
10,11-01-2023,35538
10,12-01-2023,35280
